French,English
permettre,allow
pouvoirs,powers
luke,luke
pluie,rain
passez,pass
vrais,real
enlevé,removed
moments,moments
blesser,hurt
ombre,shadow
rome,Rome
épisode,episode
talent,talent
chocolat,chocolate
assurance,assurance
angleterre,England
couche,layer
site,site
neige,snow
gardé,guard
chemise,shirt
ted,ted
voulaient,wanted
emploi,job
précédemment,previously
surveiller,to watch
privée,private
entière,whole
saint,Holy
parlent,talk
réfléchi,thoughtful
my,my
attendent,wait
jette,throw
facilement,easily
joues,play
jury,jury
passera,will pass
voleur,thief
véritable,true
entend,hears
chaise,chair
accusé,accused
zéro,zero
clairement,clearly
mouvement,movement
celles,those
sommeil,sleep
blancs,whites
survivre,survive
semblait,seemed
o,o
craint,fear
traduction,translation
notes,notes
repos,rest
siège,seat
policier,police officer
allés,alleys
puissance,power
familles,families
second,second
cellule,cell
engagé,engaged
adorable,adorable
matt,matt
spéciale,special
violence,violence
ours,bear
gorge,throat
examen,review
dieux,gods
major,major
obtenu,got
évident,obvious
distance,distance
titre,title
lundi,Monday
choc,shock
différentes,different
théâtre,theater
exploser,explode
â,To
rivière,river
paye,paid
allo,Hello
revenez,come back
écoutes,listen
logique,logic
alice,Alice
miracle,miracle
lève,survey
montagne,mountain
essayais,tried
pauvres,poor
tenu,tenuous
chicago,Chicago
auprès,with
lèvres,lips
plat,flat
lunettes,eyeglasses
journaux,newspapers
attaquer,tackle
mine,mine
pistolet,gun
divorce,divorce
noirs,black
meurtres,murders
premiers,first
forêt,forest
respirer,breathe
fortune,fortune
réponses,responses
devraient,should
explosion,blast
reviendra,will come back
mène,led
doc,doc
maria,Maria
responsabilité,responsibility
annie,Annie
erreurs,errors
principal,major
épée,sword
tienne,yours
travaillait,was working
tableau,painting 
cabinet,cabinet
normale,normal
alerte,alert
meurtrier,murderer
whoa,whoa
libérer,release
commis,clerk
sérieuse,serious
carl,carl
sous-titrage,subtitles
rock,rock
vision,vision
réveillé,wake up
auront,will have
mesure,measure
arthur,arthur
kyle,kyle
ed,ED
louis,Louis
1er,1st
secrétaire,secretary
dave,dave
images,images
fuite,leak
amitié,friendship
annonce,announcement
pousser,push
william,William
idiote,idiot
nombreux,many
brisé,broken
raconté,recount
cardiaque,heart
minuit,midnight
humeur,mood
physique,physical
prof,teacher
lieux,places
los,the bone
seins,tits
crier,shout
top,top
go,go
permission,permission
romantique,romantic
lac,lake
vente,sale
vache,cow
suit,follows
clark,Clark
courses,shopping
casser,to break
études,studies
modèle,model
susan,Susan
version,version
jeff,Jeff
pensées,thoughts
prudent,careful
plaisante,pleasant
emmené,taken
réfléchis,reflected
concert,concert
blessure,injury
tir,shot
chauffeur,driver
midi,noon
souvenez,remember
puissant,powerful
moteur,engine
répond,respond
hmm,Hmm
city,City
coûte,cost
reculez,go back
dessous,underneath
souffle,breath
construire,build
démon,demon
achète,bought
smith,smith
caméras,cameras
pousse,growth
cesse,stop
gare,station
rentrée,back to school
finit,finished
bosse,bump
kelly,kelly
fer,iron
couilles,balls
quiconque,anyone
vole,stolen
ignorais,ignorant
soutien,support
usine,factory
château,castle
lâche-moi,Let go of me
ont-ils,do they have
garage,garage
délicieux,delicious
oreille,ear
virus,virus
réellement,really
posé,laid
avancer,to advance
maisons,houses
voisins,neighbors
dites-lui,tell him
deviens,become
sage,wise
crédit,credit
ambulance,ambulance
gamins,kids
fière,proud
tourné,turned
puce,chip
finie,finish
canon,cannon
liquide,liquid
devine,guess
particulier,particular
prennent,takes
traverser,to cross
rues,streets
park,park
criminel,criminal
cependant,However
sombre,dark
agence,agency
comportement,behavior
artiste,artist
bosser,work
gouverneur,governor
paroles,words
résoudre,solve
chut,hush
période,period
bat,bat
seraient,would be
bébés,babies
cherches,looking for
e,e
croyez-moi,believe me
donnes,data
préparé,prepared
soucis,worry
traiter,to treat
street,street
différente,different
reconnais,recognize
bye,bye
pourriez-vous,could you
fromage,cheese
essence,essence
ayant,having
côte,coast
tenté,tent
chaleur,heat
tests,tests
champagne,Champagne
objet,object
ouai,yeah
disparaître,disappear
oiseaux,birds
re,D
europe,Europe
supposé,Assumed
supplie,beg
tournée,tour
résultat,result
roger,Roger
concernant,re
vérifie,checked
souffrir,suffer
occupée,busy
fusil,gun
gardien,guardian
déranger,bother
verrai,will see
fatiguée,tired
vote,vote
dégagez,release
anciens,ancient
voila,There
tués,You are
forcément,necessarily
cadeaux,gifts
herbe,grass
b,B
menteur,liar
vivante,alive
riches,rich
vive,long -lived
sacrée,sacred
taylor,Taylor
adulte,adult
siècle,century
attente,waiting
endroits,locations
écris,wrote
rapports,reports
piscine,pool
rentrez,come back
lendemain,the following day
fumer,to smoke
concours,competition
ment,is lying
monté,mounted
passait,passed
vous-même,yourself
inviter,invite
coach,coach
fausse,fake
élevé,pupil
chair,flesh
magique,Magic
chaîne,chain
chèque,check
réseau,network
enfance,childhood
mensonges,lies
pourrions,could
choisis,choose
taire,to hush up
inquiet,worried
enfuir,escape
bel,beautiful
profiter,to profit from
science,science
revenue,revenue
billet,ticket
crâne,skull
jaloux,jealous
tien,yours
arrestation,arrest
laver,wash
nuits,nights
caisse,box
scientifique,scientist
russe,Russian
cris,cries
traité,treaty
attaqué,offensive
écoutez-moi,listen to me
montez,go up
sean,sean
promesse,promise
sénateur,senator
blessures,wounds
sucre,sugar
murs,walls
attrape,caught
représente,represented
emma,Emma
esprits,spirits
cloche,Bell
phil,phil
cia,CIA
réputation,reputation
étudier,to study
trompe,deceived
chute,fall
jackson,jackson
demi,half
devra,will have to
plainte,complaint
grand-chose,great
tim,Tim
joey,Joey
sorcière,witch
venant,from
alan,alan
californie,California
tenue,outfit
journaliste,journalist
soyons,let's be
chouette,owl
karen,karen
aurons,will have
avocats,lawyers
cherchais,sought
angeles,Angeles
surveille,watched
département,department
abandonne,abandoned
prendrai,will take
peinture,paint
refaire,redo
honnêtement,honestly
opinion,opinion
geste,gesture
étais-tu,were you
gaffe,blunder
empire,empire
aient,have
pizza,pizza
seriez,would be
fan,fan
poitrine,chest
y',y '
jenny,Jenny
lorsqu',when
médecins,doctors
remonte,traced back
aventure,adventure
réglé,rule
mac,mac
abby,Abby
barre,rod
foyer,foyer
jean,Jeans
amuse,amused
mener,carry out
uniforme,uniform
cauchemar,nightmare
soupe,soup
intelligente,intelligent
jus,juice
prêtre,priest
lily,lily
trompé,deceived
chuck,chuck
corde,rope
champion,champion
somme,sum
conférence,conference
commissaire,commissioner
répondez,answer
attrapé,caught
red,red
racontes,tells
deviner,guess
recommencer,restart
dis-tu,you say
complet,complete
crimes,crimes
maggie,Maggie
crème,cream
construit,built
excusez,Excuse
entraînement,coaching
centaines,hundreds
calmer,calm
joueur,player
couloir,corridor
horreur,horror
propriété,property
admettre,admit
matériel,material
verrez,will see
foule,crowd
st,st
réaction,reaction
ennuie,bored
laura,laura
pub,pub
hiver,winter
manteau,coat
pis,worse
débile,stupid
trouverai,will find
conseiller,advise
humanité,humanity
studio,studio
josh,josh
lapin,rabbit
désert,desert
combattre,combat
big,big
julie,julie
boutique,shop
fonds,funds
voient,see
états-unis,UNITED STATES
reviendrai,will come back
ramené,brings back
discussion,discussion
connaissait,knew
vegas,vegas
sir,sir
fiancée,fiancee
remonter,go back up
incendie,fire
arbres,trees
conseils,advice
géniale,brilliant
messages,messages
ex,ex
surface,surface
appellent,call
atteint,hit
recommence,start again
curieux,curious
lucy,Lucy
ascenseur,elevator
mars,March
apprend,learn
abri,shelter
larmes,tears
dites-vous,you say
impliqué,implied
répéter,repeat
pardonner,forgive
donnerai,will give
soi,self
marine,Marine
cadavre,corpse
o.k.,OK.
front,forehead
uniquement,uniquely
traîner,hang out
rare,rare
permet,allow
stan,stan
parking,car park
morceaux,parts
réussir,succeed
morgan,Morgan
empêche,stop
traversé,crossed
américaine,American
hank,hank
décide,decided
doué,gifted
gloire,glory
gang,gang
communauté,community
plaisantes,pleasant
déclaration,statement
jones,jones
portait,wore
croient,believe
projets,projects
frontière,border
saute,jumped up
hais,haz
laissée,left
suivez-moi,follow me
prénom,first name
tenter,to attempt
liaison,connection
cérémonie,ceremony
fasses,do
vivent,live
ho,ho
océan,ocean
vélo,bike
aimerait,would like
réaliser,realize
poupée,doll
navire,ship
saches,know
parties,parts
patrick,patrick
remplacer,replace
prisonnier,prisoner
ménage,household
porté,door
employés,employees
dépêchez-vous,hurry up
bouton,button
acteur,actor
show,show
julia,julia
mardi,Tuesday
juré,sworn
barry,Barry
médecine,medicine
restera,will stay
lourd,heavy
chargé,charge
au-delà,beyond
survécu,survived
bite,cock
soudain,suddenly
voyais,saw
travailles,work
prévenu,warned
regardez-moi,look at me
baisse,decrease
filer,spin
rompu,broken
véhicule,vehicle
sauve,Safe
rencontrés,met
emmerde,foul
estomac,stomach
donna,donna
couvrir,cover
meilleures,best
rater,to fail
terminée,finished
fred,fred
tâche,stain
réserve,reserve
brûler,burn
chou,cabbage
réveille,wake up
sentez,feel
ferme-la,shut up
réveille-toi,wake up
etait,was
origine,origin
rêvé,dream
gary,gary
pouviez,could
poursuivre,pursue
actions,actions
tapis,carpet
absence,absence
lâcher,let go
tempête,storm
um,UM
souffre,suffer
touchez,touch
cents,cents
rempli,completed
écran,screen
dis-le,say it
victor,Victor
affreux,awful
enterrement,interment
inconnu,unknown
venger,revenge
team,team
feriez,would do
sara,sara
inventé,invented
installer,install
ya,ya
va-t-il,he's going
rythme,pace
étudiants,students
pratique,convenient
whisky,whiskey
calmez-vous,calm down
travaillez,Work
ballon,ball 
équipage,crew
signes,signs
élèves,students
faites-le,do it
parlera,talk to
attirer,attract
récompense,reward
reconnu,recognized
irait,would go
loup,wolf
traite,treaty
lâchez-moi,Let me go
ca.,That.
vengeance,revenge
imaginez,Imagine
navré,heartbroken
feront,will do
finis,finish
propose,propose
forcé,strength
lutte,struggle
opportunité,opportunity
personnage,character
2e,2nd
boss,boss
arrêtes,stops
convaincu,convinced
allons-nous,Let's go
accompagner,to accompany
essayons,let's try
limite,limit
panique,panic
technologie,technology
brillant,bright
king,King
afrique,Africa
nourrir,to feed
région,region
nathan,Nathan
passent,pass
salaire,salary
veille,day before
appelle-moi,call me
ceinture,belt
explication,explanation
chansons,songs
profond,deep
professionnel,professional
possède,possesses
étonnant,amazing
venais,came
casier,locker
jouez,play
roman,novel
sandwich,sandwich
arrives,arrival
nana,girl
nommé,appointed
incident,incident
retournez,return
sophie,sophie
potes,friends
comité,committee
chine,China
technique,technical
haine,hate
identifier,identify
célibataire,Single
jackie,jackie
annoncer,announce
portée,scope
fleur,flower
roule,rolled
palais,palace
tromper,deceive
lady,lady
attendait,was waiting
jeudi,THURSDAY
abruti,jerk
disiez,say
normalement,Normally
circonstances,circumstances
appelez-moi,call me
canapé,couch
sommes-nous,are we
protège,protected
est-à-dire,that is to say
affronter,confront
connait,know
élève,pupil
pêche,fishing
masque,mask
couvert,covered
extraordinaire,extraordinary
malheur,misfortune
sentais,Smelt
royaume,kingdom
porc,pork
envoyez,send
brûle,burn
entretien,interview
vingt,twenty
objets,objects
gêne,embarrassed
bloc,block
aidera,will help
final,final
conduis,driven
excellente,excellent
brûlé,burnt
amanda,Amanda
business,business
sauté,jumped up
trouvent,find
ferez,will be
alarme,alarm
laisse-le,leave him
rencard,date
concentrer,focus
étoile,star
engager,engage
singe,monkey
colle,glue
ooh,ooh
assistant,assistant
fallu,owed
mm,mm
central,central
prisonniers,prisoners
naturel,natural
essayait,was trying
pardonnez-moi,excuse me
étape,stage
cage,cage
davantage,any further
alliance,alliance
collègues,colleagues
collier,necklace
rayon,Ray
correct,correct
jesse,Jesse
gâcher,spoil
quant,as to
assassiné,murdered
placard,closet
soif,thirsty
conditions,terms
min,min
remis,discarded
russes,Russian
miel,Honey
personnellement,personally
entièrement,entirely
howard,Howard
impressionnant,impressive
passes,passes
créature,creature
black,black
lancé,spear
kilomètres,kilometers
sers,serve
échappé,escaped
parte,part
prouve,prove
associé,associated
monnaie,cash
dean,dean
moque,mocking
voisin,neighbor
clinique,clinical
tape,tape
têtes,heads
lentement,slowly
classique,classic
temple,temple
steven,Steven
produits,products
passion,passion
prenne,take
échoué,failed
écouté,listen
existence,existence
correspond,correspond
analyse,analysis
retire,took of
mystère,mystery
maîtresse,mistress
port,port
tension,tension
qualité,quality
nationale,national
respecte,respect
vierge,virgin
piano,piano
secteur,sector
espérons,hope
devoirs,homework
pot,jar
contacter,contact
secrète,secret
dispute,dispute
cigarette,cigarette
manques,gaps
bouffe,food
jugement,judgement
idiots,idiots
courageux,brave
limites,boundaries
bibliothèque,library
désir,desire
condition,condition
sales,dirty
courrier,mail
volant,flying
merveilleuse,marvelous
fumée,smoke
chanceux,lucky
expert,expert
anne,Anne
rick,rick
lève-toi,get up
tasse,cup
poussé,pushed
étrangers,foreigners
censée,supposed
permettez,Allow
hall,lobby
approcher,approach
that,that
